persona_id,priority_rank,recommended_category,recommended_product_code,recommended_product_name,insurer,source_cluster,recommendation_reason,avoid_message,landing_copy_hook
PD04,2,종신,JN-LIFE-002,조녁패밀리가드 종신,조녁생명,초등 자녀 가구,초등 자녀 가구는 자동차 사용 빈도가 높아 운전자 관련 메시지 반응도 좋다,불확실한 노후 위기만 강조하는 카피,교육비 시즌에도 유지 가능한 가족 보장 재정렬
PD04,3,자동차,JW-AUTO-002,정원패밀리카 안심플랜,정원손해보험,초등 자녀 가구,초등 자녀 가구는 자동차 사용 빈도가 높아 운전자 관련 메시지 반응도 좋다,불확실한 노후 위기만 강조하는 카피,교육비 시즌에도 유지 가능한 가족 보장 재정렬
PD05,1,어린이,HP-CHILD-002,해피스쿨세이프 어린이,해피손해보험,중학생 자녀 가구,"중학생 자녀 가구는 자녀 담보 점검과 부모 중증질환 대비, 연금의 균형 제안이 자연스럽다",과도한 감성형 가족 카피,사교육비가 커질수록 필요한 보험 우선순위 재정리
PD05,2,종신,MR-LIFE-002,미래케어밸런스 종신,미래라이프,중학생 자녀 가구,가계 부담을 크게 늘리지 않는 재정렬 관점이 중요하다,고액 종신 단일 업셀,자녀 담보 점검과 부모 노후 준비를 함께 보는 중학생 가구 플랜
PD05,3,연금,MR-PENSION-002,미래든든은퇴 연금,미래라이프,중학생 자녀 가구,가계 부담을 크게 늘리지 않는 재정렬 관점이 중요하다,고액 종신 단일 업셀,자녀 담보 점검과 부모 노후 준비를 함께 보는 중학생 가구 플랜
PD06,1,자동차,JW-AUTO-004,정원비즈 운행안심,정원손해보험,자영업 가장,운전자 노출과 가족 의존도가 모두 높아 자동차·실손·가장보장을 같이 제안하는 편이 자연스럽다,감성 위주 브랜딩 카피,사고 한 번이 가게 운영을 흔들지 않게
PD06,2,실손,JW-HEALTH-002,정원올인원실손 4세대,정원손해보험,자영업 가장,사업자에게는 법률비용과 의료비 공백 메시지가 강하게 반응한다,사업 리스크와 무관한 일반론,운전자 노출과 가족 생계 리스크를 같이 보는 자영업자 플랜
PD06,3,종신,JN-LIFE-003,조녁체증안심 종신,조녁생명,자영업 가장,사업자에게는 법률비용과 의료비 공백 메시지가 강하게 반응한다,사업 리스크와 무관한 일반론,운전자 노출과 가족 생계 리스크를 같이 보는 자영업자 플랜
PD07,1,실손,MR-HEALTH-001,미래실속실손 4세대,미래라이프,프리랜서,"프리랜서는 낮은 진입장벽의 실손과 기본 진단 대비, 작은 연금 시작이 설득 포인트다",장기 헌신을 강요하는 톤,회사 단체보험이 없는 사람을 위한 기본 보장 세트
PD07,2,종신,MR-LIFE-001,미래실속보장 종신,미래라이프,프리랜서,월납 부담이 큰 상품보다는 유지 지속성이 높은 조합이 필요하다,결혼·자녀 중심의 가정형 메시지,수입이 들쑥날쑥해도 유지하기 쉬운 프리랜서 보험 조합
PD07,3,연금,MR-PENSION-001,미래월지급 연금플랜,미래라이프,프리랜서,월납 부담이 큰 상품보다는 유지 지속성이 높은 조합이 필요하다,결혼·자녀 중심의 가정형 메시지,수입이 들쑥날쑥해도 유지하기 쉬운 프리랜서 보험 조합
PD08,1,연금,JN-PENSION-003,조녁평생소득 연금,조녁생명,50대 은퇴준비층,"은퇴준비층은 연금 공백을 가장 먼저 점검하고, 실손 갱신 대비와 가장 보장을 함께 설명해야 한다",지나친 공포형 노후 위기 조성,"은퇴 10년 전, 연금과 병원비를 같이 점검할 때"
PD08,2,실손,JN-HEALTH-002,조녁올케어 실손프라임,조녁생명,50대 은퇴준비층,기존 계약 리모델링 메시지가 신규 가입 메시지보다 반응이 좋다,젊은층 중심 모바일 밈 카피,기존 보험을 정리하고 남길 것만 남기는 50대 플랜
PD08,3,종신,MR-LIFE-002,미래케어밸런스 종신,미래라이프,50대 은퇴준비층,기존 계약 리모델링 메시지가 신규 가입 메시지보다 반응이 좋다,젊은층 중심 모바일 밈 카피,기존 보험을 정리하고 남길 것만 남기는 50대 플랜
PD09,1,종신,JN-LIFE-003,조녁체증안심 종신,조녁생명,marketing_extension,이 고객은 고액 진단 대비와 연금 누적 규모를 동시에 확인하는 구조가 맞다,가족 중심 감성 메시지,짧게 보고 바로 판단하는 고소득 1인가구 보험 리포트
PD09,2,연금,JN-PENSION-003,조녁평생소득 연금,조녁생명,marketing_extension,상품 설명보다 관리 효율과 숫자 근거가 구매를 좌우한다,가격할인만 강조하는 대중형 카피,고액 진단 대비와 연금 규모를 한 번에 정리하는 프리미엄 플랜
PD09,3,실손,JN-HEALTH-002,조녁올케어 실손프라임,조녁생명,marketing_extension,상품 설명보다 관리 효율과 숫자 근거가 구매를 좌우한다,가격할인만 강조하는 대중형 카피,고액 진단 대비와 연금 규모를 한 번에 정리하는 프리미엄 플랜
PD10,1,자동차,HP-AUTO-002,해피패밀리카 밸런스,해피손해보험,marketing_extension,"부부가 함께 쓰는 차량과 병원비, 은퇴 대비를 동시에 설명해야 전환 가능성이 높다",대기업 직장인 전용처럼 보이는 메시지,부부가게 운영 중에도 유지 가능한 보험 구조
PD10,2,실손,JW-HEALTH-002,정원올인원실손 4세대,정원손해보험,marketing_extension,상담 시간보다 요약표와 월납 부담 설명이 중요하다,장기 투자 수익률만 강조하는 표현,자동차·병원비·노후를 한 번에 보는 지방 소상공인 플랜
PD10,3,연금,MR-PENSION-002,미래든든은퇴 연금,미래라이프,marketing_extension,상담 시간보다 요약표와 월납 부담 설명이 중요하다,장기 투자 수익률만 강조하는 표현,자동차·병원비·노후를 한 번에 보는 지방 소상공인 플랜
