연월,보험사,상품카테고리,연령대,성별,가입건수,청구건수,경과보험료_원,청구금액_원,손해율(%)
2023-01,조녁생명,실손,30대,남성,1405,50,18797000,15715000,83.6
2023-01,조녁생명,실손,30대,여성,1403,51,19688000,16637000,84.5
2023-01,조녁생명,실손,40대,남성,1253,44,21818000,17936000,82.2
2023-01,조녁생명,실손,40대,여성,1314,50,24504000,20780000,84.8
2023-01,조녁생명,실손,50대,남성,1009,41,22118000,19278000,87.2
2023-01,조녁생명,실손,50대,여성,1082,44,24680000,22333000,90.5
2023-01,조녁생명,실손,60대,남성,689,29,18088000,16522000,91.3
2023-01,조녁생명,실손,60대,여성,737,34,20044000,19129000,95.4
2023-01,미래라이프,실손,20대,남성,1274,45,12662000,9776000,77.2
2023-01,미래라이프,실손,20대,여성,1430,49,14968000,12007000,80.2
2023-01,미래라이프,실손,30대,남성,1534,54,18903000,14867000,78.6
2023-01,미래라이프,실손,30대,여성,1655,60,20927000,17157000,82.0
2023-01,미래라이프,실손,40대,남성,1452,52,22664000,17953000,79.2
2023-01,미래라이프,실손,40대,여성,1455,52,23717000,19827000,83.6
2023-01,미래라이프,실손,50대,남성,1181,48,23078000,19449000,84.3
2023-01,미래라이프,실손,50대,여성,1210,49,24649000,21883000,88.8
2023-01,미래라이프,실손,60대,남성,783,33,18210000,15988000,87.8
2023-01,미래라이프,실손,60대,여성,842,37,20344000,19131000,94.0
2023-01,정원손해보험,실손,20대,남성,1233,41,12966000,9967000,76.9
2023-01,정원손해보험,실손,20대,여성,1271,44,13961000,11281000,80.8
2023-01,정원손해보험,실손,30대,남성,1373,47,17338000,13880000,80.1
2023-01,정원손해보험,실손,30대,여성,1533,53,20411000,17082000,83.7
2023-01,정원손해보험,실손,40대,남성,1274,45,21428000,17765000,82.9
2023-01,정원손해보험,실손,40대,여성,1375,49,23933000,20624000,86.2
2023-01,정원손해보험,실손,50대,남성,1089,43,22864000,19551000,85.5
2023-01,정원손해보험,실손,50대,여성,1108,47,23635000,20750000,87.8
2023-01,정원손해보험,실손,60대,남성,721,31,17627000,15829000,89.8
2023-01,정원손해보험,실손,60대,여성,753,33,18996000,17763000,93.5
2023-01,해피손해보험,실손,20대,남성,1378,48,12977000,10386000,80.0
2023-01,해피손해보험,실손,20대,여성,1455,49,14331000,12051000,84.1
2023-01,해피손해보험,실손,30대,남성,1531,55,17753000,14409000,81.2
2023-01,해피손해보험,실손,30대,여성,1613,56,19697000,16724000,84.9
2023-01,해피손해보험,실손,40대,남성,1475,54,22696000,18703000,82.4
2023-01,해피손해보험,실손,40대,여성,1554,60,24358000,20691000,84.9
2023-01,해피손해보험,실손,50대,남성,1200,48,23143000,19910000,86.0
2023-01,해피손해보험,실손,50대,여성,1245,52,24426000,21680000,88.8
2023-01,해피손해보험,실손,60대,남성,799,34,17701000,16181000,91.4
2023-01,해피손해보험,실손,60대,여성,860,39,20170000,19388000,96.1
2023-01,조녁생명,종신,30대,남성,402,1,39635000,29185000,73.6
2023-01,조녁생명,종신,30대,여성,408,1,37405000,26658000,71.3
2023-01,조녁생명,종신,40대,남성,487,2,77212000,57908000,75.0
2023-01,조녁생명,종신,40대,여성,496,2,72385000,52052000,71.9
2023-01,조녁생명,종신,50대,남성,435,1,93150000,72821000,78.2
2023-01,조녁생명,종신,50대,여성,434,2,86674000,65688000,75.8
2023-01,조녁생명,종신,60대,남성,301,1,85107000,66736000,78.4
2023-01,조녁생명,종신,60대,여성,302,2,80628000,63122000,78.3
2023-01,조녁생명,종신,70대,남성,183,1,60878000,50108000,82.3
2023-01,조녁생명,종신,70대,여성,185,1,56763000,45203000,79.6
2023-01,미래라이프,종신,30대,남성,445,1,39238000,27450000,70.0
2023-01,미래라이프,종신,30대,여성,462,1,37673000,25810000,68.5
2023-01,미래라이프,종신,40대,남성,537,1,75689000,54354000,71.8
2023-01,미래라이프,종신,40대,여성,552,2,71575000,49525000,69.2
2023-01,미래라이프,종신,50대,남성,511,2,99110000,71194000,71.8
2023-01,미래라이프,종신,50대,여성,481,2,87451000,63695000,72.8
2023-01,미래라이프,종신,60대,남성,346,2,88694000,69022000,77.8
2023-01,미래라이프,종신,60대,여성,354,1,84716000,62927000,74.3
2023-01,미래라이프,종신,70대,남성,201,1,59113000,47656000,80.6
2023-01,미래라이프,종신,70대,여성,198,1,54346000,42015000,77.3
2023-01,정원손해보험,화재,30대,남성,250,3,4532000,3518000,77.6
2023-01,정원손해보험,화재,30대,여성,254,3,4472000,3601000,80.5
2023-01,정원손해보험,화재,40대,남성,380,4,8998000,7073000,78.6
2023-01,정원손해보험,화재,40대,여성,385,4,8981000,7232000,80.5
2023-01,정원손해보험,화재,50대,남성,445,4,13877000,11547000,83.2
2023-01,정원손해보험,화재,50대,여성,430,5,13493000,10970000,81.3
2023-01,정원손해보험,화재,60대,남성,343,4,15339000,13015000,84.8
2023-01,정원손해보험,화재,60대,여성,343,4,15240000,13396000,87.9
2023-01,해피손해보험,화재,30대,남성,272,2,4513000,3638000,80.6
2023-01,해피손해보험,화재,30대,여성,276,3,4522000,3678000,81.3
2023-01,해피손해보험,화재,40대,남성,428,4,9485000,7751000,81.7
2023-01,해피손해보험,화재,40대,여성,427,5,9261000,7517000,81.2
2023-01,해피손해보험,화재,50대,남성,473,6,13874000,11572000,83.4
2023-01,해피손해보험,화재,50대,여성,472,5,13630000,11611000,85.2
2023-01,해피손해보험,화재,60대,남성,373,4,15344000,13559000,88.4
2023-01,해피손해보험,화재,60대,여성,355,4,14571000,13156000,90.3
2023-02,정원손해보험,자동차,20대,남성,1317,49,135874000,122262000,90.0
2023-02,정원손해보험,자동차,20대,여성,1109,41,97446000,83520000,85.7
2023-02,정원손해보험,자동차,30대,남성,1621,56,127317000,108081000,84.9
2023-02,정원손해보험,자동차,30대,여성,1437,44,97067000,78409000,80.8
2023-02,정원손해보험,자동차,40대,남성,1488,48,104840000,85235000,81.3
2023-02,정원손해보험,자동차,40대,여성,1262,37,77327000,59778000,77.3
2023-02,정원손해보험,자동차,50대,남성,1208,42,90628000,75937000,83.8
2023-02,정원손해보험,자동차,50대,여성,994,32,64203000,53532000,83.4
2023-02,해피손해보험,자동차,20대,남성,1399,54,130046000,118474000,91.1
2023-02,해피손해보험,자동차,20대,여성,1158,42,93684000,81448000,86.9
2023-02,해피손해보험,자동차,30대,남성,1840,64,131909000,111920000,84.8
2023-02,해피손해보험,자동차,30대,여성,1598,53,96908000,80859000,83.4
2023-02,해피손해보험,자동차,40대,남성,1668,55,109358000,92253000,84.4
2023-02,해피손해보험,자동차,40대,여성,1401,43,78127000,63754000,81.6
2023-02,해피손해보험,자동차,50대,남성,1348,47,93263000,80714000,86.5
2023-02,해피손해보험,자동차,50대,여성,1142,36,68968000,55994000,81.2
2023-02,조녁생명,어린이,0-1세,남성,493,19,28991000,22479000,77.5
2023-02,조녁생명,어린이,0-1세,여성,472,19,27564000,21568000,78.2
2023-02,조녁생명,어린이,2-5세,남성,911,30,36148000,27210000,75.3
2023-02,조녁생명,어린이,2-5세,여성,822,29,31696000,23431000,73.9
2023-02,조녁생명,어린이,6-10세,남성,1000,31,31073000,23075000,74.3
2023-02,조녁생명,어린이,6-10세,여성,928,30,28875000,20787000,72.0
2023-02,조녁생명,어린이,11-15세,남성,744,22,19914000,14371000,72.2
2023-02,조녁생명,어린이,11-15세,여성,707,22,19048000,13925000,73.1
2023-02,미래라이프,어린이,0-1세,남성,589,23,30784000,23722000,77.1
2023-02,미래라이프,어린이,0-1세,여성,555,22,28969000,21606000,74.6
2023-02,미래라이프,어린이,2-5세,남성,990,35,34067000,24337000,71.4
2023-02,미래라이프,어린이,2-5세,여성,962,32,33302000,23818000,71.5
2023-02,미래라이프,어린이,6-10세,남성,1129,36,30827000,21460000,69.6
2023-02,미래라이프,어린이,6-10세,여성,1083,34,29979000,20876000,69.6
2023-02,미래라이프,어린이,11-15세,남성,846,26,20233000,14460000,71.5
2023-02,미래라이프,어린이,11-15세,여성,791,24,19096000,13065000,68.4
2023-02,정원손해보험,어린이,0-1세,남성,540,22,29365000,23039000,78.5
2023-02,정원손해보험,어린이,0-1세,여성,506,20,28075000,21614000,77.0
2023-02,정원손해보험,어린이,2-5세,남성,941,32,34962000,26380000,75.5
2023-02,정원손해보험,어린이,2-5세,여성,838,30,30469000,22707000,74.5
2023-02,정원손해보험,어린이,6-10세,남성,1054,34,30624000,22342000,73.0
2023-02,정원손해보험,어린이,6-10세,여성,969,33,28483000,20617000,72.4
2023-02,정원손해보험,어린이,11-15세,남성,744,21,18525000,13285000,71.7
2023-02,정원손해보험,어린이,11-15세,여성,706,22,17905000,12380000,69.1
2023-02,해피손해보험,어린이,0-1세,남성,567,22,28542000,21857000,76.6
2023-02,해피손해보험,어린이,0-1세,여성,549,21,28324000,22080000,78.0
2023-02,해피손해보험,어린이,2-5세,남성,1037,37,34414000,25639000,74.5
2023-02,해피손해보험,어린이,2-5세,여성,990,36,33795000,24552000,72.6
2023-02,해피손해보험,어린이,6-10세,남성,1113,38,30037000,21574000,71.8
2023-02,해피손해보험,어린이,6-10세,여성,1059,36,27874000,20374000,73.1
2023-02,해피손해보험,어린이,11-15세,남성,825,24,18821000,13408000,71.2
2023-02,해피손해보험,어린이,11-15세,여성,809,25,18793000,13226000,70.4
2023-02,조녁생명,실손,20대,남성,1176,42,13030000,10788000,82.8
2023-02,조녁생명,실손,20대,여성,1227,43,14246000,11998000,84.2
2023-02,조녁생명,실손,30대,남성,1344,49,18506000,15047000,81.3
2023-02,조녁생명,실손,30대,여성,1468,54,20606000,17907000,86.9
2023-02,조녁생명,실손,40대,남성,1255,47,21942000,18677000,85.1
2023-02,조녁생명,실손,40대,여성,1315,48,24539000,21745000,88.6
2023-02,조녁생명,실손,50대,남성,1048,43,23307000,20447000,87.7
2023-02,조녁생명,실손,50대,여성,1109,46,25110000,22912000,91.2
2023-02,조녁생명,실손,60대,남성,689,31,18065000,16638000,92.1
2023-02,조녁생명,실손,60대,여성,722,33,19319000,18574000,96.1
2023-02,미래라이프,실손,20대,남성,1355,48,13493000,10494000,77.8
2023-02,미래라이프,실손,20대,여성,1388,48,14515000,12010000,82.7
2023-02,미래라이프,실손,30대,남성,1576,54,19342000,15315000,79.2
2023-02,미래라이프,실손,30대,여성,1671,61,20901000,17630000,84.4
2023-02,미래라이프,실손,40대,남성,1380,51,21809000,17942000,82.3
2023-02,미래라이프,실손,40대,여성,1473,56,24017000,20439000,85.1
2023-02,미래라이프,실손,50대,남성,1184,48,22947000,19477000,84.9
2023-02,미래라이프,실손,50대,여성,1226,53,24748000,22109000,89.3
2023-02,미래라이프,실손,60대,남성,789,34,18177000,16345000,89.9
2023-02,미래라이프,실손,60대,여성,805,37,19139000,18052000,94.3
2023-02,정원손해보험,실손,20대,남성,1190,42,12454000,9911000,79.6
2023-02,정원손해보험,실손,20대,여성,1248,44,13412000,10821000,80.7
2023-02,정원손해보험,실손,30대,남성,1404,50,18163000,14968000,82.4
2023-02,정원손해보험,실손,30대,여성,1479,53,19992000,17068000,85.4
2023-02,정원손해보험,실손,40대,남성,1328,47,22085000,18478000,83.7
2023-02,정원손해보험,실손,40대,여성,1386,54,24055000,20084000,83.5
2023-02,정원손해보험,실손,50대,남성,1078,42,22221000,19665000,88.5
2023-02,정원손해보험,실손,50대,여성,1130,46,24706000,22008000,89.1
2023-02,정원손해보험,실손,60대,남성,746,32,18404000,16916000,91.9
2023-02,정원손해보험,실손,60대,여성,754,33,19175000,18205000,94.9
2023-02,해피손해보험,실손,20대,남성,1386,47,13171000,10641000,80.8
2023-02,해피손해보험,실손,20대,여성,1439,53,14381000,12040000,83.7
2023-02,해피손해보험,실손,30대,남성,1621,58,18978000,15818000,83.3
2023-02,해피손해보험,실손,30대,여성,1632,61,20064000,17402000,86.7
2023-02,해피손해보험,실손,40대,남성,1487,53,22953000,18989000,82.7
2023-02,해피손해보험,실손,40대,여성,1543,57,24173000,21216000,87.8
2023-02,해피손해보험,실손,50대,남성,1223,50,22954000,20414000,88.9
2023-02,해피손해보험,실손,50대,여성,1223,53,24445000,22442000,91.8
2023-02,해피손해보험,실손,60대,남성,819,36,18311000,17108000,93.4
2023-02,해피손해보험,실손,60대,여성,823,36,19123000,18190000,95.1
2023-02,조녁생명,종신,30대,남성,396,1,39441000,29668000,75.2
2023-02,조녁생명,종신,30대,여성,414,1,39049000,28616000,73.3
2023-02,조녁생명,종신,40대,남성,489,2,77085000,57455000,74.5
2023-02,조녁생명,종신,40대,여성,478,3,71347000,51940000,72.8
2023-02,조녁생명,종신,50대,남성,443,2,96287000,73128000,75.9
2023-02,조녁생명,종신,50대,여성,441,3,89318000,66158000,74.1
2023-02,조녁생명,종신,60대,남성,305,2,85316000,69740000,81.7
2023-02,조녁생명,종신,60대,여성,315,2,82749000,64888000,78.4
2023-02,조녁생명,종신,70대,남성,180,1,60992000,51899000,85.1
2023-02,조녁생명,종신,70대,여성,180,1,56650000,45647000,80.6
2023-02,미래라이프,종신,30대,남성,446,1,39757000,28371000,71.4
2023-02,미래라이프,종신,30대,여성,474,2,39080000,26764000,68.5
2023-02,미래라이프,종신,40대,남성,538,3,75323000,52725000,70.0
2023-02,미래라이프,종신,40대,여성,544,2,70966000,48946000,69.0
2023-02,미래라이프,종신,50대,남성,491,3,92526000,69157000,74.7
2023-02,미래라이프,종신,50대,여성,503,3,88670000,64469000,72.7
2023-02,미래라이프,종신,60대,남성,349,2,89353000,67999000,76.1
2023-02,미래라이프,종신,60대,여성,361,2,86294000,63847000,74.0
2023-02,미래라이프,종신,70대,남성,207,1,62216000,50610000,81.3
2023-02,미래라이프,종신,70대,여성,205,1,56130000,44771000,79.8
2023-02,정원손해보험,화재,30대,남성,252,3,4437000,3603000,81.2
2023-02,정원손해보험,화재,30대,여성,249,3,4542000,3743000,82.4
2023-02,정원손해보험,화재,40대,남성,382,5,8979000,7216000,80.4
2023-02,정원손해보험,화재,40대,여성,385,5,9154000,7494000,81.9
2023-02,정원손해보험,화재,50대,남성,435,6,13556000,11283000,83.2
2023-02,정원손해보험,화재,50대,여성,455,6,14278000,12212000,85.5
2023-02,정원손해보험,화재,60대,남성,329,5,14812000,13154000,88.8
2023-02,정원손해보험,화재,60대,여성,340,4,14942000,13605000,91.1
2023-02,해피손해보험,화재,30대,남성,288,4,4785000,3860000,80.7
2023-02,해피손해보험,화재,30대,여성,278,3,4524000,3747000,82.8
2023-02,해피손해보험,화재,40대,남성,410,6,9103000,7421000,81.5
2023-02,해피손해보험,화재,40대,여성,429,6,9527000,7803000,81.9
2023-02,해피손해보험,화재,50대,남성,485,8,14108000,11776000,83.5
2023-02,해피손해보험,화재,50대,여성,497,7,14559000,12465000,85.6
2023-02,해피손해보험,화재,60대,남성,371,6,15093000,13420000,88.9
2023-02,해피손해보험,화재,60대,여성,381,5,15611000,14364000,92.0
2023-03,정원손해보험,자동차,20대,남성,1248,51,125243000,113895000,90.9
2023-03,정원손해보험,자동차,20대,여성,1114,41,96220000,85968000,89.3
2023-03,정원손해보험,자동차,30대,남성,1709,61,131854000,114041000,86.5
2023-03,정원손해보험,자동차,30대,여성,1413,49,93366000,77064000,82.5
2023-03,정원손해보험,자동차,40대,남성,1517,53,106296000,87312000,82.1
2023-03,정원손해보험,자동차,40대,여성,1298,42,79641000,62999000,79.1
2023-03,정원손해보험,자동차,50대,남성,1211,43,92812000,79834000,86.0
2023-03,정원손해보험,자동차,50대,여성,1033,35,67269000,56886000,84.6
2023-03,해피손해보험,자동차,20대,남성,1453,57,137734000,126772000,92.0
2023-03,해피손해보험,자동차,20대,여성,1219,48,96314000,84482000,87.7
2023-03,해피손해보험,자동차,30대,남성,1823,68,128718000,114277000,88.8
2023-03,해피손해보험,자동차,30대,여성,1517,52,92927000,77742000,83.7
2023-03,해피손해보험,자동차,40대,남성,1704,58,110025000,93285000,84.8
2023-03,해피손해보험,자동차,40대,여성,1448,46,81085000,66744000,82.3
2023-03,해피손해보험,자동차,50대,남성,1291,45,89594000,78190000,87.3
2023-03,해피손해보험,자동차,50대,여성,1128,39,67653000,57648000,85.2
2023-03,조녁생명,어린이,0-1세,남성,496,22,29535000,24836000,84.1
2023-03,조녁생명,어린이,0-1세,여성,462,21,26837000,22037000,82.1
2023-03,조녁생명,어린이,2-5세,남성,861,36,33889000,27600000,81.4
2023-03,조녁생명,어린이,2-5세,여성,841,35,32910000,26070000,79.2
2023-03,조녁생명,어린이,6-10세,남성,966,39,29924000,23609000,78.9
2023-03,조녁생명,어린이,6-10세,여성,923,36,28609000,21744000,76.0
2023-03,조녁생명,어린이,11-15세,남성,741,27,19743000,15487000,78.4
2023-03,조녁생명,어린이,11-15세,여성,676,24,18001000,13733000,76.3
2023-03,미래라이프,어린이,0-1세,남성,559,26,29127000,22882000,78.6
2023-03,미래라이프,어린이,0-1세,여성,553,26,29274000,22926000,78.3
2023-03,미래라이프,어린이,2-5세,남성,1035,43,35773000,27204000,76.0
2023-03,미래라이프,어린이,2-5세,여성,919,38,31898000,24197000,75.9
2023-03,미래라이프,어린이,6-10세,남성,1143,44,31325000,23231000,74.2
2023-03,미래라이프,어린이,6-10세,여성,1076,41,30073000,22282000,74.1
2023-03,미래라이프,어린이,11-15세,남성,848,30,20423000,15146000,74.2
2023-03,미래라이프,어린이,11-15세,여성,781,28,18627000,13473000,72.3
2023-03,정원손해보험,어린이,0-1세,남성,541,25,30109000,24277000,80.6
2023-03,정원손해보험,어린이,0-1세,여성,483,23,26842000,21337000,79.5
2023-03,정원손해보험,어린이,2-5세,남성,913,38,33282000,26323000,79.1
2023-03,정원손해보험,어린이,2-5세,여성,895,36,33099000,25394000,76.7
2023-03,정원손해보험,어린이,6-10세,남성,1026,39,29821000,23101000,77.5
2023-03,정원손해보험,어린이,6-10세,여성,1008,41,29263000,22093000,75.5
2023-03,정원손해보험,어린이,11-15세,남성,777,28,19658000,15111000,76.9
2023-03,정원손해보험,어린이,11-15세,여성,752,27,18885000,14106000,74.7
2023-03,해피손해보험,어린이,0-1세,남성,591,28,29717000,24430000,82.2
2023-03,해피손해보험,어린이,0-1세,여성,542,25,27361000,21982000,80.3
2023-03,해피손해보험,어린이,2-5세,남성,1022,41,34101000,27105000,79.5
2023-03,해피손해보험,어린이,2-5세,여성,939,38,31610000,24984000,79.0
2023-03,해피손해보험,어린이,6-10세,남성,1113,45,30210000,22960000,76.0
2023-03,해피손해보험,어린이,6-10세,여성,1080,42,28614000,21445000,74.9
2023-03,해피손해보험,어린이,11-15세,남성,873,32,19914000,15299000,76.8
2023-03,해피손해보험,어린이,11-15세,여성,816,29,18971000,14553000,76.7
2023-03,조녁생명,실손,20대,남성,1155,38,12956000,10480000,80.9
2023-03,조녁생명,실손,20대,여성,1270,45,14795000,12497000,84.5
2023-03,조녁생명,실손,30대,남성,1328,47,17880000,14638000,81.9
2023-03,조녁생명,실손,30대,여성,1488,51,20898000,17696000,84.7
2023-03,조녁생명,실손,40대,남성,1236,45,21561000,17665000,81.9
2023-03,조녁생명,실손,40대,여성,1326,49,24299000,21167000,87.1
2023-03,조녁생명,실손,50대,남성,1055,42,23562000,20739000,88.0
2023-03,조녁생명,실손,50대,여성,1054,42,23921000,21729000,90.8
2023-03,조녁생명,실손,60대,남성,677,29,17689000,16065000,90.8
2023-03,조녁생명,실손,60대,여성,729,32,19395000,18224000,94.0
2023-03,미래라이프,실손,20대,남성,1308,44,12878000,10034000,77.9
2023-03,미래라이프,실손,20대,여성,1405,48,14695000,11787000,80.2
2023-03,미래라이프,실손,30대,남성,1526,54,18701000,14782000,79.0
2023-03,미래라이프,실손,30대,여성,1650,59,21038000,17625000,83.8
2023-03,미래라이프,실손,40대,남성,1446,53,22811000,18085000,79.3
2023-03,미래라이프,실손,40대,여성,1480,55,23889000,19635000,82.2
2023-03,미래라이프,실손,50대,남성,1153,47,22202000,18597000,83.8
2023-03,미래라이프,실손,50대,여성,1240,52,25213000,22147000,87.8
2023-03,미래라이프,실손,60대,남성,800,34,18752000,16745000,89.3
2023-03,미래라이프,실손,60대,여성,823,37,19782000,18401000,93.0
2023-03,정원손해보험,실손,20대,남성,1200,40,12601000,10004000,79.4
2023-03,정원손해보험,실손,20대,여성,1286,46,14045000,11304000,80.5
2023-03,정원손해보험,실손,30대,남성,1477,51,18707000,14924000,79.8
2023-03,정원손해보험,실손,30대,여성,1478,52,19774000,16366000,82.8
2023-03,정원손해보험,실손,40대,남성,1348,48,22624000,18535000,81.9
2023-03,정원손해보험,실손,40대,여성,1374,51,23804000,20436000,85.9
2023-03,정원손해보험,실손,50대,남성,1113,45,22851000,20039000,87.7
2023-03,정원손해보험,실손,50대,여성,1104,45,23278000,20551000,88.3
2023-03,정원손해보험,실손,60대,남성,723,30,17871000,15996000,89.5
2023-03,정원손해보험,실손,60대,여성,740,32,18422000,17308000,94.0
2023-03,해피손해보험,실손,20대,남성,1397,47,13296000,10492000,78.9
2023-03,해피손해보험,실손,20대,여성,1397,48,13880000,11224000,80.9
2023-03,해피손해보험,실손,30대,남성,1551,52,18309000,14950000,81.7
2023-03,해피손해보험,실손,30대,여성,1707,60,21067000,17991000,85.4
2023-03,해피손해보험,실손,40대,남성,1508,53,23271000,18895000,81.2
2023-03,해피손해보험,실손,40대,여성,1580,58,24820000,21488000,86.6
2023-03,해피손해보험,실손,50대,남성,1162,47,22456000,19331000,86.1
2023-03,해피손해보험,실손,50대,여성,1234,51,24799000,22425000,90.4
2023-03,해피손해보험,실손,60대,남성,817,35,18400000,16769000,91.1
2023-03,해피손해보험,실손,60대,여성,870,38,20242000,18754000,92.6
2023-03,조녁생명,종신,30대,남성,409,2,40254000,30182000,75.0
2023-03,조녁생명,종신,30대,여성,407,2,38451000,28358000,73.8
2023-03,조녁생명,종신,40대,남성,507,3,79169000,61269000,77.4
2023-03,조녁생명,종신,40대,여성,503,3,72737000,53931000,74.1
2023-03,조녁생명,종신,50대,남성,447,4,95685000,74823000,78.2
2023-03,조녁생명,종신,50대,여성,439,4,87073000,67502000,77.5
2023-03,조녁생명,종신,60대,남성,316,2,88724000,72411000,81.6
2023-03,조녁생명,종신,60대,여성,321,2,84331000,67341000,79.9
2023-03,조녁생명,종신,70대,남성,175,1,58359000,50118000,85.9
2023-03,조녁생명,종신,70대,여성,184,2,57367000,47266000,82.4
2023-03,미래라이프,종신,30대,남성,463,2,41525000,30160000,72.6
2023-03,미래라이프,종신,30대,여성,449,3,36934000,26179000,70.9
2023-03,미래라이프,종신,40대,남성,554,4,78125000,55642000,71.2
2023-03,미래라이프,종신,40대,여성,537,3,69968000,49906000,71.3
2023-03,미래라이프,종신,50대,남성,485,3,92155000,69396000,75.3
2023-03,미래라이프,종신,50대,여성,510,3,92805000,68091000,73.4
2023-03,미래라이프,종신,60대,남성,342,3,87633000,70467000,80.4
2023-03,미래라이프,종신,60대,여성,356,3,84821000,65580000,77.3
2023-03,미래라이프,종신,70대,남성,203,1,60209000,48704000,80.9
2023-03,미래라이프,종신,70대,여성,201,1,56355000,44359000,78.7
2023-03,정원손해보험,화재,30대,남성,248,3,4431000,3549000,80.1
2023-03,정원손해보험,화재,30대,여성,249,3,4400000,3604000,81.9
2023-03,정원손해보험,화재,40대,남성,379,6,8935000,7444000,83.3
2023-03,정원손해보험,화재,40대,여성,394,6,9335000,7900000,84.6
2023-03,정원손해보험,화재,50대,남성,448,7,14190000,12048000,84.9
2023-03,정원손해보험,화재,50대,여성,447,7,14021000,11799000,84.2
2023-03,정원손해보험,화재,60대,남성,342,5,15336000,13853000,90.3
2023-03,정원손해보험,화재,60대,여성,341,5,15458000,13746000,88.9
2023-03,해피손해보험,화재,30대,남성,274,4,4469000,3689000,82.5
2023-03,해피손해보험,화재,30대,여성,279,4,4573000,3778000,82.6
