상품코드,보험사,상품명,상품카테고리,타겟연령,월보험료_기준,기준보험료_원,보험료납입주기,기준프로필,주요보장1,주요보장2,주요보장3,특약옵션,가입조건
HP-CHILD-002,해피손해보험,해피스쿨세이프 어린이,어린이,7~15세 학교생활 집중형,33200,33200,월납,"11세 남아, 30세 만기, 학교생활 강화형",학교 체육활동과 통학 중 사고 보장을 강화한 상품,수술비와 입원일당을 실속형 수준으로 유지,모바일 병원서류 제출과 빠른 정액보장 심사를 제공,"통학사고, 학교체육 상해, 깁스치료, 재활치료 특약","만 15세 이하 가입 가능, 청약 전 최근 3개월 내 검사 결과 고지 필요"
JN-HEALTH-001,조녁생명,조녁바른실손 4세대,실손,20~50대 직장인·가족,15400,15400,월납,"35세 여성, 표준체, 급여·비급여 통합형",급여입원과 통원 실손 보장을 기본 구조에 맞춰 제공,비급여 주사·MRI·도수치료를 분리형 특약으로 설계,비급여 이용량에 따른 할인·할증 구조를 반영,"비급여 주사, MRI, 도수치료, 상급병실차액 특약","만 19세~60세 가입 가능, 최근 5년 중 입원·수술 이력 고지 필요"
JN-HEALTH-002,조녁생명,조녁올케어 실손프라임,실손,30~60대 가족 보완형,22300,22300,월납,"48세 남성, 표준체, 통원빈도 보완형",급여 통원과 입원 보장을 넓게 두고 비급여 특약을 강화,상급병실차액과 처방조제 실손을 함께 설계,비급여 할증 구간 진입 전 상담서비스를 제공,"상급병실차액, 비급여 주사, MRI, 약제비 상담 특약",직전 2년 내 특정 만성질환 약물치료 여부 확인 필요
MR-HEALTH-001,미래라이프,미래실속실손 4세대,실손,20~40대 초회 가입자,11900,11900,월납,"29세 남성, 표준체, 비흡연, 기본형",급여 의료비 중심의 기본형 실손 구조,비급여 특약을 필요한 만큼만 선택하는 실속형 설계,모바일 청구와 자동심사 중심의 저렴한 구조,"비급여 주사, MRI, 도수치료, 응급실 특약","만 19세~55세 가입 가능, 최근 2년 내 수술 이력은 개별 심사"
MR-HEALTH-002,미래라이프,미래가벼운실손 플러스,실손,30~60대 합리형 가입자,18700,18700,월납,"46세 여성, 표준체, 약제비 통원 빈도형",급여 통원·입원과 약제비 보장을 균형 있게 제공,비급여 이용량이 적은 고객에게 유리한 할인 구조 적용,통원 빈도가 잦은 고객을 위한 청구 편의 기능 제공,"약제비, 비급여 MRI, 응급실, 건강상담 특약",최근 5년 내 암·뇌·심장질환 진단 이력 시 가입 제한 가능
JW-HEALTH-001,정원손해보험,정원표준실손 4세대,실손,20~50대 표준형 가입자,13600,13600,월납,"38세 남성, 표준체, 급여·비급여 통합형",급여 의료비 실손과 응급실 보장을 표준형으로 제공,비급여 주사와 도수치료 특약을 선택형으로 분리,사고성 외래와 질병 외래를 동일 프로세스로 심사,"비급여 주사, 도수치료, MRI, 응급실 특약","만 19세~60세 가입 가능, 최근 3개월 내 검사 이상 소견 고지 필요"
JW-HEALTH-002,정원손해보험,정원올인원실손 4세대,실손,30~60대 가족 보완형,20900,20900,월납,"52세 여성, 표준체, 비급여 이용 빈도형",급여 실손에 상급병실차액과 처방조제를 묶은 확장형 상품,도수치료와 비급여 영상검사 특약을 강화,비급여 이용량 알림과 갱신 전 상담 기능 제공,"상급병실차액, 도수치료, MRI, 약제비 상담 특약",기존 실손 전환 고객은 재가입 심사 기준에 따라 가입 가능
HP-HEALTH-001,해피손해보험,해피가벼운실손 4세대,실손,20~40대 온라인 가입자,9900,9900,월납,"27세 여성, 표준체, 온라인 기본형",급여 중심의 최소 기본형 실손 상품,비급여 담보를 개별 특약으로 선택해 보험료를 낮춤,모바일 영수증 자동인식으로 소액 청구를 빠르게 처리,"비급여 주사, MRI, 도수치료, 응급실 특약","온라인 전용, 최근 2년 내 입원 이력과 만성질환 치료 여부 고지 필요"
HP-HEALTH-002,해피손해보험,해피실속실손 케어,실손,30~60대 합리형 가입자,17300,17300,월납,"49세 남성, 표준체, 약제비 보완형",급여 통원·입원과 약제비 실손을 중심으로 설계,비급여 이용량이 낮은 고객에게 유리한 보험료 구조,청구서류 사진 제출과 자동 지급 예측 기능 제공,"약제비, 비급여 MRI, 응급실, 상급병실차액 특약","갱신형 상품, 최근 5년 내 특정 중대질환 이력은 가입 제한 가능"
JN-LIFE-001,조녁생명,조녁든든평생 종신,종신,30~50대 가장,128000,128000,월납,"40세 남성, 주계약 1억원, 20년납, 표준체",사망보장 중심으로 장례·생활안정 자금을 준비,암·뇌·심장 진단 특약을 결합해 가족보장형으로 확장 가능,납입면제와 체증형 설계를 선택할 수 있는 표준형 상품,"암진단, 3대질환, 납입면제, 체증사망 특약","만 20세~60세 가입 가능, 흡연 여부와 건강진단 결과에 따라 보험료 차등"
JN-LIFE-002,조녁생명,조녁패밀리가드 종신,종신,30~50대 자녀 있는 가구,184000,184000,월납,"43세 여성, 주계약 1억5천만원, 20년납, 표준체",유가족 생활비 보전을 고려한 중보장 종신보험,질병장해와 장기요양 보조 특약을 함께 설계 가능,연금전환 옵션을 통해 은퇴 이후 활용성을 높인 구조,"장기요양, 연금전환, 납입면제, 질병장해 특약","표준체 이상 심사 필요, 최근 10년 중 중대질환 진단 이력은 인수 제한 가능"
JN-LIFE-003,조녁생명,조녁체증안심 종신,종신,35~55대 고보장 수요층,276000,276000,월납,"45세 남성, 주계약 2억원, 20년납, 비흡연 우량체",체증형 사망보험금 구조로 장기 인플레이션 리스크를 대비,3대질환 선지급과 생활비지급형 특약을 함께 선택 가능,고액보장 고객을 위한 건강관리 서비스가 포함,"체증사망, 생활비지급, 3대질환 선지급, 건강관리 특약","건강검진 결과 제출 필요, 우량체 기준 충족 시 할인 적용"
MR-LIFE-001,미래라이프,미래실속보장 종신,종신,30~50대 예산 민감형 가장,83000,83000,월납,"38세 남성, 주계약 7천만원, 20년납, 표준체",필수 사망보장을 중심으로 보험료 부담을 낮춘 실속형,암진단과 납입면제 특약만 선별해 결합할 수 있는 구조,해지환급금 수준을 조정해 초기 보험료를 낮춤,"암진단, 납입면제, 재해사망, 생활비지원 특약","만 20세~60세 가입 가능, 비흡연 여부와 병력에 따라 보험료 변동"
MR-LIFE-002,미래라이프,미래케어밸런스 종신,종신,35~55대 가족 보장형,139000,139000,월납,"44세 여성, 주계약 1억원, 20년납, 표준체",사망보장과 장기요양 대비를 함께 고려한 균형형 상품,유병력 단계별 심사와 연금전환 옵션을 함께 제공,납입기간 중 질병장해 발생 시 보험료 납입면제를 지원,"장기요양, 연금전환, 질병장해, 납입면제 특약","건강상태 고지 필수, 최근 5년 중 입원·수술 이력은 추가 심사"
MR-LIFE-003,미래라이프,미래정기전환형 종신,종신,30~45대 단계형 보장 수요층,172000,172000,월납,"41세 남성, 주계약 1억2천만원, 15년납, 표준체","초기에는 종신보장, 이후 정기전환 옵션을 둔 유연형 구조",가족 상황 변화에 따라 보장기간과 보험료 전략을 조정 가능,교육자금·생활비 목적의 체증형 특약과 함께 설계 가능,"정기전환, 체증사망, 교육자금, 납입면제 특약",계약 전환 시점의 상품 기준에 따라 일부 보장 내용이 달라질 수 있음
JN-PENSION-001,조녁생명,조녁미래연금 스마트,연금,30~50대 은퇴 준비층,180000,180000,월납,"40세 여성, 20년 납입, 65세 개시, 기본형",적립형 구조로 은퇴 시점 연금재원을 안정적으로 준비,사망 시 계약자적립금을 기준으로 환급 구조를 제공,납입유예와 추가납입 기능으로 자금흐름 대응 가능,"추가납입, 중도인출, 보증형 연금개시, 배우자승계 특약","만 20세~60세 가입 가능, 연금개시 연령과 납입기간 선택 필요"
JN-PENSION-002,조녁생명,조녁안정노후 연금,연금,40~55대 안정형 자산준비층,280000,280000,월납,"45세 남성, 15년 납입, 65세 개시, 보증지급형",연금개시 이후 20년 보증지급을 선택할 수 있는 안정형 상품,납입기간 중 위험보장을 최소화해 적립 효율을 높인 구조,연금수령 방식 전환과 일부 인출 기능 제공,"보증지급, 종신연금, 상속연금, 중도인출 특약","연금개시 전 해지 시 환급금 변동 가능, 투자성 상품 아님"
JN-PENSION-003,조녁생명,조녁평생소득 연금,연금,35~55대 소득대체율 중시층,420000,420000,월납,"42세 남성, 20년 납입, 60세 개시, 고액적립형",월 연금수령액을 높이기 위한 고적립형 구조,장기 유지 고객에게 추가적립 보너스를 제공,은퇴 이전 중도인출과 납입유예를 선택 가능,"추가적립, 장기유지보너스, 연금개시유예, 배우자승계 특약","월 30만원 이상 납입 권장, 중도해지 시 원금 미만 환급 가능"
MR-PENSION-001,미래라이프,미래월지급 연금플랜,연금,30~50대 실속형 은퇴 준비층,150000,150000,월납,"39세 여성, 20년 납입, 65세 개시, 기본형",보험료 부담을 낮춘 실속형 적립식 연금 상품,추가납입과 납입중지 기능으로 자금 유연성을 확보,단순한 구조로 초보 가입자가 이해하기 쉬운 상품,"추가납입, 납입중지, 종신연금, 확정연금 특약","만 20세~60세 가입 가능, 납입중지 기간 중 일부 보장 제한 가능"
MR-PENSION-002,미래라이프,미래든든은퇴 연금,연금,40~55대 안정형 준비층,260000,260000,월납,"47세 남성, 15년 납입, 65세 개시, 보증형",안정적인 은퇴자금 확보를 위한 보증지급형 연금 구조,중도인출 기능과 납입유예 기능을 균형 있게 제공,해지환급률보다 유지 지속성을 중시하는 설계,"보증연금, 중도인출, 납입유예, 상속연금 특약","연금개시 전 적립금 변동 가능, 조기 해지 시 사업비 차감 반영"
MR-PENSION-003,미래라이프,미래스텝업 연금,연금,35~55대 소득상승 기대층,340000,340000,월납,"41세 여성, 20년 납입, 63세 개시, 단계증액형",납입기간 중 단계적으로 적립 규모를 높이는 연금 상품,소득 상승 구간에 맞춘 추가납입과 장기유지 우대가 강점,연금개시 시점 선택폭이 넓어 은퇴시나리오 대응이 쉬움,"단계증액, 추가납입, 장기유지우대, 연금개시유예 특약","가입 후 3년 이내 감액 가능, 추가납입 한도는 회사 기준에 따름"
